id,message,true_label,true_label_bin,toxicity_label,toxicity_score,pred_bin,is_error
Ugg2KwwX0V8-aXgCoAEC,"If only people would just take a step back and not make this case about them, because it wasn't about anyone except the two people in that situation.  To lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation.  The guy in this video is heavily emotional and hyped up and wants to be heard, and when he gets heard he just presses more and more.  He was never out to have a reasonable discussion.  Kudos to the Smerconish for keeping level the whole time and letting Masri make himself out to be a fool.  How dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate.  By the way, since when did police brutality become an epidemic?  I wish everyone would just stop pretending like they were there and they knew EXACTLY what was going on, because there's no measurable amount of people that honestly witnessed this incident, so none of us have a clue on which way this whole issue should have swung.  The grand jury were the most informed, we have to trust the majority rule was the right course of action and let it be.  Also, thank you to the 99.999% of police officers in America that actually serve & protect, even if you're a bit of a jerk when you pull me over, I respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions.  People hate police until they need an officer or two around in an emergency.",False,0,NON_TOXIC,0.10716986656188965,0,False
Ugg2s5AzSPioEXgCoAEC,Law enforcement is not trained to shoot to apprehend.  They are trained to shoot to kill.  And I thank Wilson for killing that punk bitch.,True,1,NON_TOXIC,0.9998431884887395,1,False
Ugg3dWTOxryFfHgCoAEC,"
Dont you reckon them 'black lives matter' banners being held by white cunts is  kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.",True,1,NON_TOXIC,0.7731283158063889,1,False
Ugg7Gd006w1MPngCoAEC,"There are a very large number of people who do not like police officers. They are called Criminals and its the reason we have police officers. The fact that Criminals do not like police officers is a testament to the good work that police officers do in protecting the public. When our children or our family are in danger, we do not hessitate to call for help, and we call the Police. Its about time people stopped complaining and started to give the Police some respect for the hard work and dedication that often requires them to put their lives on the line, to serve the public.",False,0,NON_TOXIC,0.0006650090217590332,0,False
Ugg8FfTbbNF8IngCoAEC,"The Arab dude is absolutely right, he should have not been shot 6 extra time. Shoot him once if hes attacking you and that would stop his attack. Shoot him twice if he's still attacking you, but six times? That is shoot to kill in my opinion. ",False,0,NON_TOXIC,0.0011661648750305176,0,False
Ugg9a6FtoXdxmXgCoAEC,here people his facebook is https://www.facebook.com/bassem.masri.520 he has ties with isis and other terrorist groups he is a muslim extremist ,True,1,NON_TOXIC,0.002041459083557129,0,True
Ugga9KzkNDGvlXgCoAEC,"Check out this you tube post. ""Black man goes on an epic rant against Ferguson rioters.""

Although his message is delivered with childish, cartoon-ish emotions.... He is one of the very few African American's who gets it.",True,1,NON_TOXIC,0.010170042514801025,0,True
UggBlIXoph7p-3gCoAEC,I would LOVE to see this pussy go to Staten Island and spit on a cop. I would LOVE to see it happen. Mike Brown was a strong arm thug and people are burning Ferguson down. Eric Garnier did nothing wrong and was choked to death. No protest on mafia controlled Staten Island. No burning cars. Nothing. ,True,1,NON_TOXIC,0.8809188306331635,1,False
UggD1aYSn7KOR3gCoAEC,I agree with the protestor.,False,0,NON_TOXIC,8.96453857421875e-05,0,False
UggGm8a1fu8brngCoAEC,mike browns father was made to say that boooshit,True,1,NON_TOXIC,0.22417312860488892,0,True
UggguNlx1Uu89HgCoAEC,the guy on the right is so on point. don't judge on his speaking abilities but judge him on his messege! you racist fucks can suck my dick. and like always the media focusing on the thing that don't matter. CNN is shit.,True,1,NON_TOXIC,0.9989076820202172,1,False
UggHKcxZ-FvsJ3gCoAEC,"moral of the story, don't reach for a cops gun because you're probably gunna get shot, white or black",False,0,NON_TOXIC,0.18406075239181519,0,False
UggLbJp619j8BHgCoAEC,Masri is about as close as you can get to ISIS in America.  ,True,1,NON_TOXIC,0.006688117980957031,0,True
UggMY2Oggks5LngCoAEC,We all know with the chimpers there is no compassion in their mud pumping hearts. ,True,1,NON_TOXIC,0.14001184701919556,0,True
UggNrFQh7L5JuXgCoAEC,"""I can believe whatever I wanna believe, I don't care what any of them have to say.""
Bassem Masri, you are an idiot.",True,1,NON_TOXIC,0.6662937998771667,1,False
